timestamp,lat,lon,alt,gspeed,vspeed,track,squawk,callsign,source,distance_from_gimpo,flight,hexid
2025-05-02T04:08:15Z,37.56726,126.80144,0,0,0,135,0,APJ732,ADSB,0.12,MM732,84B473
2025-05-02T04:08:43Z,37.56743,126.80123,0,2,0,137,0,APJ732,ADSB,0.12,MM732,84B473
2025-05-02T04:09:05Z,37.56762,126.80102,0,3,0,146,0,APJ732,ADSB,0.13,MM732,84B473
2025-05-02T04:09:07Z,37.55597,126.80445,0,3,0,45,0,,ADSB,1.22,TW715,71C070
2025-05-02T04:09:25Z,37.55581,126.80424,0,3,0,45,0,,ADSB,1.23,TW715,71C070
2025-05-02T04:09:29Z,37.56789,126.8008,0,3,0,151,4340,APJ732,ADSB,0.16,MM732,84B473
2025-05-02T04:09:42Z,37.55564,126.80402,0,3,0,30,0,,ADSB,1.25,TW715,71C070
2025-05-02T04:09:47Z,37.56809,126.80065,0,3,0,149,4340,APJ732,ADSB,0.18,MM732,84B473
2025-05-02T04:10:03Z,37.55542,126.80387,0,2,0,354,0,,ADSB,1.27,TW715,71C070
2025-05-02T04:10:06Z,37.56829,126.8005,0,3,0,143,4340,APJ732,ADSB,0.2,MM732,84B473
2025-05-02T04:10:29Z,37.56852,126.8003,0,2,0,135,4340,APJ732,ADSB,0.23,MM732,84B473
2025-05-02T04:10:36Z,37.55512,126.80399,0,1,0,309,0,,ADSB,1.3,TW715,71C070
2025-05-02T04:13:43Z,37.55544,126.80361,0,0,0,317,0,TWB715,ADSB,1.26,TW715,71C070
2025-05-02T04:13:51Z,37.55562,126.80334,0,8,0,306,0,TWB715,ADSB,1.24,TW715,71C070
2025-05-02T04:13:51Z,37.55957,126.80021,0,3,0,45,0,JJA121,ADSB,0.77,7C121,71C050
2025-05-02T04:13:59Z,37.55565,126.80296,0,8,0,264,0,TWB715,ADSB,1.23,TW715,71C070
2025-05-02T04:14:09Z,37.55542,126.80259,0,9,0,227,0,TWB715,ADSB,1.25,TW715,71C070
2025-05-02T04:14:15Z,37.55932,126.79991,0,3,0,47,0,JJA121,ADSB,0.8,7C121,71C050
2025-05-02T04:14:16Z,37.55519,126.80228,0,11,0,225,0,TWB715,ADSB,1.27,TW715,71C070
2025-05-02T04:14:23Z,37.55498,126.80202,0,13,0,225,0,TWB715,ADSB,1.29,TW715,71C070
2025-05-02T04:14:27Z,37.55469,126.80177,0,13,0,202,0,TWB715,ADSB,1.32,TW715,71C070
2025-05-02T04:14:31Z,37.55447,126.80177,0,13,0,174,0,TWB715,ADSB,1.34,TW715,71C070
2025-05-02T04:14:37Z,37.56839,126.80053,0,6,0,118,4340,APJ732,ADSB,0.21,MM732,84B473
2025-05-02T04:14:37Z,37.5542,126.80203,0,13,0,137,0,TWB715,ADSB,1.37,TW715,71C070
2025-05-02T04:14:43Z,37.56839,126.80075,0,7,0,95,4340,APJ732,ADSB,0.21,MM732,84B473
